Classifier,Dataset,Accuracy,Balanced_Accuracy,F1_Weighted,F1_Macro,Precision_Weighted,Recall_Weighted,Train_Time_Sec
Random Forest,Full (Multilingual),0.8064263731678055,0.7942678194933681,0.8059997378379,0.7954966172016741,0.8057086329446927,0.8064263731678055,78.76790626000002
Random Forest,English-only,0.8005047849405826,0.7882511284351921,0.8000204157733461,0.7895661145804924,0.7997042002894466,0.8005047849405826,77.89305010499993
SVM (LinearSVC),Full (Multilingual),0.7994888112252881,0.8013907111219796,0.8013320282330569,0.7935594923557427,0.8076183373093108,0.7994888112252881,5.556395023000732
SVM (LinearSVC),English-only,0.7948259543590283,0.7973971778272957,0.7967350512691252,0.7892996211982215,0.803618521626685,0.7948259543590283,5.692453270999977
DistilBERT,Full (Multilingual),0.815,0.8114603648044052,0.8162664694880788,0.8063798367101737,0.8191200909466723,0.815,113.91461779800011
DistilBERT,English-only,0.796,0.768712306299226,0.7926104604333647,0.7755271810175222,0.7935107750748777,0.796,108.08555289500055
